# steering, torque, engine_velocity, vehicle_velocity
-3.099975999999999843e+00,-1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.099975999999999843e+00,-1.300000000000000000e+01,8.920000000000000000e+02,2.105999900000000125e+01
-2.900024000000000157e+00,-1.700000000000000000e+01,8.920000000000000000e+02,2.105999900000000125e+01
-2.900024000000000157e+00,-1.700000000000000000e+01,8.960000000000000000e+02,2.100000000000000000e+01
-2.400024000000000157e+00,-1.700000000000000000e+01,8.960000000000000000e+02,2.100000000000000000e+01
-2.400024000000000157e+00,-1.700000000000000000e+01,8.960000000000000000e+02,2.092000000000000171e+01
-2.099975999999999843e+00,-2.000000000000000000e+01,8.960000000000000000e+02,2.092000000000000171e+01
-2.099975999999999843e+00,-2.000000000000000000e+01,8.840000000000000000e+02,2.078999900000000167e+01
-2.099975999999999843e+00,-2.200000000000000000e+01,8.840000000000000000e+02,2.078999900000000167e+01
-2.099975999999999843e+00,-2.200000000000000000e+01,8.880000000000000000e+02,2.073000000000000043e+01
-1.900023999999999935e+00,-2.500000000000000000e+01,8.880000000000000000e+02,2.073000000000000043e+01
-1.900023999999999935e+00,-2.500000000000000000e+01,8.740000000000000000e+02,2.055999900000000125e+01
-1.299927000000000055e+00,-2.700000000000000000e+01,8.740000000000000000e+02,2.055999900000000125e+01
-1.299927000000000055e+00,-2.700000000000000000e+01,8.660000000000000000e+02,2.042000000000000171e+01
-9.000240000000000462e-01,-2.600000000000000000e+01,8.660000000000000000e+02,2.042000000000000171e+01
-9.000240000000000462e-01,-2.600000000000000000e+01,8.620000000000000000e+02,2.032999999999999829e+01
-1.000000000000000000e+00,-2.500000000000000000e+01,8.620000000000000000e+02,2.032999999999999829e+01
-1.000000000000000000e+00,-2.500000000000000000e+01,8.480000000000000000e+02,2.026999999999999957e+01
-1.000000000000000000e+00,-2.000000000000000000e+01,8.480000000000000000e+02,2.026999999999999957e+01
-1.000000000000000000e+00,-2.000000000000000000e+01,8.400000000000000000e+02,2.013999899999999954e+01
-1.000000000000000000e+00,-1.900000000000000000e+01,8.400000000000000000e+02,2.013999899999999954e+01
-1.000000000000000000e+00,-1.900000000000000000e+01,8.340000000000000000e+02,2.003999900000000167e+01
-1.099976000000000065e+00,-2.000000000000000000e+01,8.340000000000000000e+02,2.003999900000000167e+01
-1.099976000000000065e+00,-2.000000000000000000e+01,8.280000000000000000e+02,1.998999999999999844e+01
-1.599976000000000065e+00,-2.300000000000000000e+01,8.280000000000000000e+02,1.998999999999999844e+01
-1.599976000000000065e+00,-2.300000000000000000e+01,8.220000000000000000e+02,1.983999999999999986e+01
-3.400024000000000157e+00,-2.200000000000000000e+01,8.220000000000000000e+02,1.983999999999999986e+01
-3.400024000000000157e+00,-2.200000000000000000e+01,8.200000000000000000e+02,1.973999999999999844e+01
-6.099975999999999843e+00,-2.500000000000000000e+01,8.200000000000000000e+02,1.973999999999999844e+01
-6.099975999999999843e+00,-2.500000000000000000e+01,8.300000000000000000e+02,1.964999999999999858e+01
-7.400024000000000157e+00,-2.600000000000000000e+01,8.300000000000000000e+02,1.964999999999999858e+01
-7.400024000000000157e+00,-2.600000000000000000e+01,8.300000000000000000e+02,1.952999900000000011e+01
-7.599975999999999843e+00,-2.600000000000000000e+01,8.300000000000000000e+02,1.952999900000000011e+01
-7.599975999999999843e+00,-2.600000000000000000e+01,8.260000000000000000e+02,1.942000000000000171e+01
-7.699951000000000434e+00,-2.600000000000000000e+01,8.260000000000000000e+02,1.942000000000000171e+01
-7.699951000000000434e+00,-2.600000000000000000e+01,8.200000000000000000e+02,1.926999999999999957e+01
-7.400024000000000157e+00,-2.500000000000000000e+01,8.200000000000000000e+02,1.926999999999999957e+01
-7.400024000000000157e+00,-2.500000000000000000e+01,8.100000000000000000e+02,1.911999899999999997e+01
-6.099975999999999843e+00,-2.400000000000000000e+01,8.100000000000000000e+02,1.911999899999999997e+01
-6.099975999999999843e+00,-2.400000000000000000e+01,7.980000000000000000e+02,1.905999900000000125e+01
-4.099975999999999843e+00,-2.000000000000000000e+01,7.980000000000000000e+02,1.905999900000000125e+01
-4.099975999999999843e+00,-2.000000000000000000e+01,7.800000000000000000e+02,1.886999899999999997e+01
-3.500000000000000000e+00,3.600000000000000000e+01,7.800000000000000000e+02,1.886999899999999997e+01
-3.500000000000000000e+00,3.600000000000000000e+01,8.580000000000000000e+02,1.873000000000000043e+01
-3.599975999999999843e+00,4.200000000000000000e+01,8.580000000000000000e+02,1.873000000000000043e+01
-3.599975999999999843e+00,4.200000000000000000e+01,9.900000000000000000e+02,1.867999999999999972e+01
-4.099975999999999843e+00,3.400000000000000000e+01,9.900000000000000000e+02,1.867999999999999972e+01
-4.099975999999999843e+00,3.400000000000000000e+01,1.080000000000000000e+03,1.857000000000000028e+01
-3.799926999999999833e+00,3.800000000000000000e+01,1.080000000000000000e+03,1.857000000000000028e+01
-3.799926999999999833e+00,3.800000000000000000e+01,1.208000000000000000e+03,1.839999999999999858e+01
-3.599975999999999843e+00,-5.000000000000000000e+00,1.208000000000000000e+03,1.839999999999999858e+01
-3.599975999999999843e+00,-5.000000000000000000e+00,1.244000000000000000e+03,1.827999900000000011e+01
-3.799926999999999833e+00,-2.000000000000000000e+01,1.244000000000000000e+03,1.827999900000000011e+01
-3.799926999999999833e+00,-2.000000000000000000e+01,1.252000000000000000e+03,1.817000000000000171e+01
-3.799926999999999833e+00,-2.000000000000000000e+01,1.252000000000000000e+03,1.817000000000000171e+01
-3.799926999999999833e+00,-2.000000000000000000e+01,1.260000000000000000e+03,1.807000000000000028e+01
-3.799926999999999833e+00,-2.000000000000000000e+01,1.260000000000000000e+03,1.807000000000000028e+01
-3.799926999999999833e+00,-2.000000000000000000e+01,1.256000000000000000e+03,1.795999899999999982e+01
-3.500000000000000000e+00,-2.000000000000000000e+01,1.256000000000000000e+03,1.795999899999999982e+01
-3.500000000000000000e+00,-2.000000000000000000e+01,1.238000000000000000e+03,1.782000000000000028e+01
-3.099975999999999843e+00,-2.000000000000000000e+01,1.238000000000000000e+03,1.782000000000000028e+01
-3.099975999999999843e+00,-2.000000000000000000e+01,1.232000000000000000e+03,1.769000099999999875e+01
-2.599975999999999843e+00,-2.000000000000000000e+01,1.232000000000000000e+03,1.769000099999999875e+01
-2.599975999999999843e+00,-2.000000000000000000e+01,1.242000000000000000e+03,1.757999999999999829e+01
-2.799926999999999833e+00,-2.000000000000000000e+01,1.242000000000000000e+03,1.757999999999999829e+01
-2.799926999999999833e+00,-2.000000000000000000e+01,1.232000000000000000e+03,1.746999900000000139e+01
